name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Maida flour, yogurt, oil, sugar. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Balu shahi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Step 1: Chop all vegetables and prepare Gram flour, ghee, sugar. Step 2: Cook the main ingredient (Boondi) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"Step 1: Chop all vegetables and prepare Carrots, milk, sugar, ghee, cashews, raisins. Step 2: Cook the main ingredient (Gajar ka halwa) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Ghevar!"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Gulab jamun) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Sugar syrup, lentil flour. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Imarti) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Step 1: Chop all vegetables and prepare Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom. Step 2: Cook the main ingredient (Jalebi) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,"Step 1: Chop all vegetables and prepare Cashews, ghee, cardamom, sugar. Step 2: Cook the main ingredient (Kaju katli) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Step 1: Chop all vegetables and prepare Milk, cottage cheese, sugar. Step 2: Cook the main ingredient (Kalakand) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,"Step 1: Gather all ingredients - Milk, rice, sugar, dried fruits. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kheer) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Gram flour, ghee, sugar). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Laddu!"
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Yogurt, milk, nuts, sugar). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Lassi!"
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Nankhatai!"
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"Step 1: Gather all ingredients - Firm white pumpkin, sugar, kitchen lime, alum powder. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Petha) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Step 1: Gather all ingredients - Rice, sugar, nuts. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Phirni) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Step 1: Gather all ingredients - Condensed milk, sugar, spices, nuts. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Rabri) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Step 1: Chop all vegetables and prepare Semolina, ghee, nuts, milk. Step 2: Cook the main ingredient (Sheera) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Khoa, coconut, molu leaf). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Singori!"
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Corn flour, ghee, dry fruits). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Sohan halwa!"
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,"Step 1: Gather all ingredients - Gram flour, ghee, sugar, milk, cardamom. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Sohan papdi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chhena, sugar, ghee). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chhena jalebi!"
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,"Step 1: Chop all vegetables and prepare Chhena, sugar, milk. Step 2: Cook the main ingredient (Chhena kheeri) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Step 1: Gather all ingredients - Sugar, chenna cheese. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Chhena poda) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
